Data,Dia_Semana,Banda,Publico,Faturamento,Custos_Banda,Custos_Operacionais
2025-09-05,Sexta,Rock Covers Brasil,95,2850.00,1200.00,450.00
2025-09-06,Sábado,Heavy Metal SP,142,4260.00,1500.00,520.00
2025-09-07,Domingo,Blues & Soul,78,2340.00,1100.00,380.00
2025-09-12,Sexta,Indie Rock,88,2640.00,1000.00,420.00
2025-09-13,Sábado,Tributo Queen,165,4950.00,1800.00,580.00
2025-09-14,Domingo,Jazz Fusion,62,1860.00,900.00,340.00
2025-09-19,Sexta,Pop Rock Anos 80,102,3060.00,1300.00,460.00
2025-09-20,Sábado,Classic Rock,138,4140.00,1600.00,540.00
2025-09-21,Domingo,Acústico MPB,71,2130.00,1000.00,360.00
2025-09-26,Sexta,Hard Rock Brasil,97,2910.00,1200.00,440.00
2025-09-27,Sábado,Tributo Iron Maiden,152,4560.00,1700.00,560.00
2025-09-28,Domingo,Samba Rock,84,2520.00,1100.00,400.00
2025-10-03,Sexta,Alternative Rock,91,2730.00,1150.00,430.00
2025-10-04,Sábado,Punk Rock SP,128,3840.00,1400.00,510.00
2025-10-05,Domingo,Bossa Nova,68,2040.00,950.00,350.00
2025-10-10,Sexta,Grunge Revival,105,3150.00,1250.00,470.00
2025-10-11,Sábado,Tributo Beatles,158,4740.00,1750.00,570.00
2025-10-12,Domingo,Folk Nacional,75,2250.00,1050.00,370.00
2025-10-17,Sexta,Metal Progressivo,93,2790.00,1200.00,440.00
2025-10-18,Sábado,Rock Nacional,145,4350.00,1650.00,550.00
